season,name,age,team,games_played,games_started,wins,losses,ties,overtime_losses,saves,shots_against,save_percentage,goals_against_average,goals_against,shutouts,minutes
2023,Mackenzie Blackwood,26,NJD,22,20,10,6,2,2,503,563,0.893,3.2,60,0,1125.55
2023,Brian Elliott,37,TBL,22,22,12,8,2,2,614,689,0.891,3.4,75,2,1324.73
2023,Thomas Greiss,37,STL,21,16,7,10,0,0,561,626,0.896,3.58,65,1,1089.35
2023,Spencer Knight,21,FLA,21,19,9,8,3,3,565,627,0.901,3.18,62,1,1168.75
2023,David Rittich,30,WPG,21,18,9,8,1,1,456,506,0.901,2.67,50,0,1121.68
2023,Scott Wedgewood,30,DAL,21,18,9,8,3,3,552,603,0.915,2.72,51,1,1126.77
2023,Collin Delia,28,VAN,20,18,10,6,2,2,464,526,0.882,3.28,62,0,1135.67
2023,Felix Sandström,26,PHI,20,18,3,12,3,3,506,575,0.88,3.72,69,0,1112.85
2023,Eric Comrie,27,BUF,19,19,9,9,1,1,526,594,0.886,3.67,68,1,1111.98
2023,Lukáš Dostál,22,ANA,19,17,4,10,3,3,612,679,0.901,3.78,67,0,1062.72
2023,Kevin Lankinen,27,NSH,19,18,9,8,1,1,534,583,0.916,2.75,49,0,1069.17
2023,Anthony Stolarz,29,ANA,19,12,5,6,0,0,443,494,0.897,3.73,51,0,820.05
2023,Mads Søgaard,22,OTT,19,17,8,6,3,3,466,524,0.889,3.32,58,0,1047.5
2023,Akira Schmid,22,NJD,18,14,9,5,2,2,376,408,0.922,2.13,32,1,901.35
2023,Magnus Hellberg,31,2TM,18,14,5,8,1,1,397,447,0.888,3.2,50,0,936.35
2023,Daniil Tarasov,23,CBJ,17,16,4,11,1,1,471,528,0.892,3.91,57,0,874.13
2023,Pavel Francouz,32,COL,16,16,8,7,1,1,451,493,0.915,2.61,42,1,964.53
2023,Michael Hutchinson,32,CBJ,16,10,2,6,3,3,378,432,0.875,4.29,54,0,755.45
2023,Alex Lyon,30,FLA,15,14,9,4,2,2,445,488,0.912,2.89,43,1,893.18
2023,Alex Nedeljkovic,27,DET,15,13,5,7,2,2,417,466,0.895,3.53,49,0,832.63
2023,Arvid Söderblom,23,CHI,15,13,2,10,2,2,405,453,0.894,3.45,48,0,835.23
2023,Samuel Ersson,23,PHI,12,10,6,3,0,0,294,327,0.899,3.07,33,1,644.92
2023,Laurent Brossoit,29,VEG,11,10,7,0,3,3,294,317,0.927,2.17,23,0,636.03
2023,Erik Källgren,26,TOR,10,9,3,2,4,4,221,246,0.898,2.67,25,0,561.67
2023,Calvin Petersen,28,LAK,10,9,5,3,2,2,223,257,0.868,3.75,34,0,543.47
2023,Devon Levi,21,BUF,7,7,5,2,0,0,201,222,0.905,2.94,21,0,429.02
2023,Ivan Prosvetov,23,ARI,7,7,4,3,0,0,206,234,0.88,3.98,28,0,422.03
2023,Joseph Woll,24,TOR,7,7,6,1,0,0,204,219,0.932,2.16,15,0,416.43
2023,Joel Hofer,22,STL,6,6,3,1,1,1,162,179,0.905,3.22,17,0,317.2
2023,Jaxson Stauber,23,CHI,6,6,5,1,0,0,174,191,0.911,2.81,17,0,363.5
2023,Joey Daccord,26,SEA,5,4,2,1,1,1,117,130,0.9,3.14,13,0,248.13
2023,Arturs Silovs,21,VAN,5,5,3,2,0,0,138,152,0.908,2.75,14,0,305.93
2023,Aaron Dell,33,SJS,4,3,0,3,0,0,94,103,0.913,2.71,9,0,199.28
2023,Dustin Tokarski,33,PIT,4,2,1,2,0,0,105,117,0.897,3.44,12,0,209.4
2023,Jon Gillies,29,CBJ,3,2,1,1,0,0,57,66,0.864,4.57,9,0,118.15
2023,Jonas Johansson,27,COL,3,2,2,0,0,0,68,73,0.932,2.1,5,0,142.95
2023,Kevin Mandolese,22,OTT,3,3,1,2,0,0,109,119,0.916,3.29,10,0,182.2
2023,Cayden Primeau,23,MTL,3,2,0,2,0,0,46,54,0.852,3.46,8,0,138.58
2023,Justus Annunen,22,COL,2,2,1,1,0,0,41,48,0.854,3.58,7,0,117.33
2023,Dylan Ferguson,24,OTT,2,2,1,1,0,0,78,83,0.94,2.52,5,0,118.87
2023,Eetu Mäkiniemi,23,SJS,2,1,1,0,1,1,29,32,0.906,2.13,3,0,84.33
2023,Leevi Merilainen,20,OTT,2,2,0,1,1,1,43,49,0.878,4.23,6,0,85.08
2023,Jiří Patera,23,VEG,2,2,2,0,0,0,65,70,0.929,2.5,5,0,120.0
2023,Keith Kinkaid,33,2TM,2,1,1,0,0,0,38,40,0.95,1.37,2,0,87.85
2023,Jett Alexander,23,TOR,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1.17
2023,Yaroslav Askarov,20,NSH,1,1,0,1,0,0,31,35,0.886,4.15,4,0,57.83
2023,Matthew Berlin,0,EDM,1,0,0,0,0,0,1,1,1.0,0.0,0,0,2.43
2023,Olle Eriksson Ek,23,ANA,1,1,0,0,1,1,34,39,0.872,4.69,5,0,63.98
2023,Jet Greaves,21,CBJ,1,1,0,1,0,0,46,49,0.939,3.05,3,0,58.95
2023,Anton Khudobin,36,CHI,1,1,0,1,0,0,22,28,0.786,6.0,6,0,60.0
2023,Dylan Wells,25,CHI,1,0,0,0,0,0,12,13,0.923,3.0,1,0,20.0
2023,Dustin Wolf,21,CGY,1,1,1,0,0,0,23,24,0.958,1.0,1,0,59.9
2024,Juuse Saros,28,NSH,64,64,35,24,5,5,1672,1845,0.906,2.86,173,3,3624.63
2024,Alexandar Georgiev,27,COL,63,62,38,18,5,5,1587,1770,0.897,3.02,183,2,3637.95
2024,Connor Hellebuyck,30,WPG,60,60,37,19,4,4,1656,1798,0.921,2.39,142,5,3567.33
2024,Stuart Skinner,25,EDM,59,57,36,16,5,5,1406,1553,0.905,2.62,147,2,3361.35
2024,Sergei Bobrovsky,35,FLA,58,58,36,17,4,4,1449,1584,0.915,2.37,135,6,3414.23
2024,Jordan Binnington,30,STL,57,55,28,21,5,5,1630,1786,0.913,2.84,156,3,3291.48
2024,Petr Mrázek,31,CHI,56,53,18,31,4,4,1564,1724,0.907,3.05,160,1,3152.67
2024,Ilya Sorokin,28,NYI,56,55,25,19,12,12,1655,1822,0.908,3.01,167,2,3325.98
2024,Joonas Korpisalo,29,OTT,55,49,21,26,4,4,1355,1523,0.89,3.27,168,0,3080.47
2024,Igor Shesterkin,28,NYR,55,55,36,17,2,2,1465,1606,0.912,2.58,141,4,3277.1
2024,Ukko-Pekka Luukkonen,24,BUF,54,51,27,22,4,4,1338,1470,0.91,2.57,132,5,3081.23
2024,Jake Oettinger,25,DAL,54,53,35,14,4,4,1336,1476,0.905,2.72,140,3,3084.58
2024,Cam Talbot,36,LAK,54,52,27,20,6,6,1360,1490,0.913,2.5,130,3,3116.12
2024,Andrei Vasilevskiy,29,TBL,52,52,30,20,2,2,1329,1477,0.9,2.9,148,2,3062.87
2024,Thatcher Demko,28,VAN,51,51,35,14,2,2,1369,1492,0.918,2.45,123,5,3015.88
2024,Samuel Ersson,24,PHI,51,49,23,19,7,7,1072,1204,0.89,2.82,132,4,2809.47
2024,Tristan Jarry,28,PIT,51,48,19,25,5,5,1236,1369,0.903,2.91,133,6,2740.63
2024,Joey Daccord,27,SEA,50,46,19,18,11,11,1258,1374,0.916,2.46,116,3,2832.78
2024,Connor Ingram,26,ARI,50,48,23,21,3,3,1325,1461,0.907,2.91,136,6,2802.93
2024,Charlie Lindgren,30,WSH,50,48,25,16,7,7,1304,1431,0.911,2.67,127,6,2852.38
2024,Jacob Markström,34,CGY,48,48,23,23,2,2,1248,1379,0.905,2.78,131,2,2831.12
2024,John Gibson,30,ANA,46,44,13,27,2,2,1192,1343,0.888,3.54,151,0,2561.48
2024,Logan Thompson,26,VEG,46,42,25,14,5,5,1179,1298,0.908,2.7,119,1,2645.47
2024,Filip Gustavsson,25,MIN,45,43,20,18,4,4,1154,1283,0.899,3.06,129,3,2526.55
2024,Mackenzie Blackwood,27,SJS,44,41,10,25,4,4,1243,1383,0.899,3.45,140,2,2437.13
2024,Lukáš Dostál,23,ANA,44,38,14,23,3,3,1181,1310,0.902,3.33,129,1,2322.82
2024,Alex Lyon,31,DET,44,43,21,18,5,5,1198,1325,0.904,3.05,127,2,2498.85
2024,Jeremy Swayman,25,BOS,44,43,25,10,8,8,1179,1287,0.916,2.53,108,3,2565.85
2024,Pyotr Kochetkov,24,CAR,42,40,23,13,4,4,939,1031,0.911,2.33,92,4,2371.48
2024,Elvis Merzļikins,29,CBJ,41,40,13,17,8,8,1136,1266,0.897,3.45,130,1,2258.67
2024,Sam Montembeault,27,MTL,41,40,16,15,9,9,1180,1307,0.903,3.14,127,0,2428.77
2024,Marc-André Fleury,39,MIN,40,36,17,15,5,5,945,1056,0.895,2.98,111,2,2232.67
2024,Ilya Samsonov,26,TOR,40,40,23,7,8,8,967,1087,0.89,3.13,120,3,2300.97
2024,Linus Ullmark,30,BOS,40,39,22,10,7,7,1104,1207,0.915,2.57,103,2,2400.13
2024,Alex Nedeljkovic,28,PIT,38,33,18,7,7,7,937,1039,0.902,2.97,102,1,2060.47
2024,Karel Vejmelka,27,ARI,38,33,13,19,2,2,975,1089,0.895,3.35,114,1,2040.13
2024,Kaapo Kähkönen,27,2TM,37,33,7,24,3,3,1023,1139,0.898,3.64,116,1,1914.22
2024,Philipp Grubauer,32,SEA,36,34,14,16,2,2,846,941,0.899,2.85,95,2,1996.6
2024,Adin Hill,27,VEG,35,35,19,12,2,2,890,979,0.909,2.71,89,2,1968.82
2024,Jake Allen,33,2TM,34,33,12,18,4,4,973,1087,0.895,3.44,114,0,1986.88
2024,Darcy Kuemper,33,WSH,33,30,13,14,3,3,837,940,0.89,3.31,103,1,1866.53
2024,Arvid Söderblom,24,CHI,32,29,5,22,2,2,828,942,0.879,3.92,114,0,1744.33
2024,Vítek Vaněček,28,NJD,32,29,17,9,3,3,767,862,0.89,3.18,95,0,1791.82
2024,Scott Wedgewood,31,DAL,32,28,16,7,5,5,759,844,0.899,2.85,85,0,1789.13
2024,Anton Forsberg,31,OTT,30,28,15,12,0,0,681,765,0.89,3.21,84,2,1569.75
2024,Joel Hofer,23,STL,30,27,15,12,1,1,758,830,0.913,2.65,72,1,1628.65
2024,Casey DeSmith,32,VAN,29,27,12,9,6,6,679,759,0.895,2.89,80,1,1663.48
2024,Semyon Varlamov,35,NYI,28,27,14,8,4,4,768,837,0.918,2.6,69,3,1594.73
2024,Jonathan Quick,38,NYR,27,26,18,6,2,2,702,771,0.911,2.62,69,2,1582.73
2024,Anthony Stolarz,30,FLA,27,24,16,7,2,2,633,684,0.925,2.03,51,2,1506.45
2024,Carter Hart,25,PHI,26,25,12,9,3,3,659,727,0.906,2.8,68,1,1455.18
2024,Jonas Johansson,28,TBL,26,24,12,7,5,5,669,752,0.89,3.37,83,2,1477.48
2024,James Reimer,35,DET,25,20,11,8,2,2,657,727,0.904,3.11,70,2,1352.4
2024,Joseph Woll,25,TOR,25,23,12,11,1,1,700,772,0.907,2.94,72,0,1471.65
2024,Kevin Lankinen,28,NSH,24,17,11,6,0,0,554,610,0.908,2.82,56,1,1191.42
2024,Antti Raanta,34,CAR,24,20,12,7,2,2,430,493,0.872,2.99,63,1,1265.18
2024,David Rittich,31,LAK,24,22,13,6,3,3,572,621,0.921,2.15,49,3,1364.52
2024,Daniil Tarasov,24,CBJ,24,23,8,11,3,3,723,796,0.908,3.18,73,0,1376.47
2024,Laurent Brossoit,30,WPG,23,22,15,5,2,2,575,620,0.927,2.0,45,3,1351.03
2024,Devon Levi,22,BUF,23,21,10,8,2,2,599,666,0.899,3.1,67,0,1294.9
2024,Calvin Pickard,31,EDM,23,20,12,7,1,1,528,581,0.909,2.45,53,1,1296.35
2024,Cayden Primeau,24,MTL,23,21,8,9,4,4,665,731,0.91,2.99,66,2,1324.83
2024,Martin Jones,34,TOR,22,19,11,8,1,1,518,574,0.902,2.87,56,2,1169.67
2024,Nico Daws,23,NJD,21,20,9,11,0,0,508,568,0.894,3.15,60,0,1144.05
2024,Daniel Vladař,26,CGY,20,19,8,9,2,2,506,574,0.882,3.62,68,0,1128.52
2024,Ville Husso,28,DET,19,18,9,5,2,2,496,556,0.892,3.55,60,0,1012.92
2024,Akira Schmid,23,NJD,19,15,5,9,1,1,409,457,0.895,3.15,48,0,914.15
2024,Spencer Martin,28,2TM,19,16,7,9,2,2,474,533,0.889,3.3,59,0,1072.22
2024,Dustin Wolf,22,CGY,17,15,7,7,1,1,417,467,0.893,3.16,50,0,950.5
2024,Frederik Andersen,34,CAR,16,16,13,2,0,0,382,410,0.932,1.84,28,3,912.88
2024,Justus Annunen,23,COL,14,12,8,4,1,1,384,414,0.928,2.25,30,2,801.08
2024,Ivan Prosvetov,24,COL,11,8,4,3,1,1,222,248,0.895,3.16,26,0,494.18
2024,Eric Comrie,28,BUF,10,10,2,7,0,0,222,254,0.874,3.69,32,0,519.9
2024,Magnus Chrona,23,SJS,9,8,1,6,1,1,225,262,0.859,4.71,37,0,471.25
2024,Jet Greaves,22,CBJ,9,8,3,6,0,0,297,327,0.908,3.49,30,0,515.87
2024,Pheonix Copley,32,LAK,8,8,4,1,2,2,154,177,0.87,3.16,23,1,436.28
2024,Devin Cooley,26,SJS,6,6,2,3,1,1,167,192,0.87,4.98,25,0,301.48
2024,Jiří Patera,24,VEG,6,5,1,3,1,1,175,196,0.893,3.98,21,0,316.77
2024,Mads Søgaard,23,OTT,6,5,1,3,0,0,116,135,0.859,4.05,19,0,281.57
2024,Matt Tomkins,29,TBL,6,6,3,2,1,1,165,185,0.892,3.33,20,0,360.22
2024,Jack Campbell,32,EDM,5,5,1,4,0,0,137,157,0.873,4.5,20,0,266.78
2024,Calvin Petersen,29,PHI,5,4,2,2,0,0,114,132,0.864,3.9,18,0,276.92
2024,Felix Sandström,27,PHI,5,3,1,2,0,0,79,96,0.823,3.87,17,0,263.48
2024,Hunter Shepard,28,WSH,4,4,2,1,1,1,110,123,0.894,3.19,13,0,244.83
2024,Arturs Silovs,22,VAN,4,4,3,0,1,1,74,84,0.881,2.47,10,0,243.22
2024,Ivan Fedotov,27,PHI,3,1,0,1,1,1,43,53,0.811,4.95,10,0,121.15
2024,Magnus Hellberg,32,PIT,3,1,1,0,0,0,59,64,0.922,2.5,5,0,119.88
2024,Jesper Wallstedt,21,MIN,3,3,2,1,0,0,78,87,0.897,3.01,9,1,179.28
2024,Yaroslav Askarov,21,NSH,2,1,1,0,0,0,33,35,0.943,1.47,2,0,81.67
2024,Chris Driedger,29,SEA,2,2,1,1,0,0,55,60,0.917,2.51,5,0,119.58
2024,Georgi Romanov,24,SJS,2,0,0,0,0,0,29,30,0.967,1.01,1,0,59.25
2024,Matt Villalta,24,ARI,2,1,0,1,0,0,24,29,0.828,4.17,5,0,71.97
2024,Kenneth Appleby,28,NYI,1,0,0,0,0,0,6,8,0.75,6.0,2,0,20.0
2024,Louis Domingue,31,NYR,1,1,1,0,0,0,25,26,0.962,1.0,1,0,60.0
2024,Michael Hutchinson,33,DET,1,1,0,1,0,0,33,36,0.917,3.11,3,0,57.8
2024,Matt Murray,25,DAL,1,1,1,0,0,0,23,23,1.0,0.0,0,1,60.0
2024,Yaniv Perets,23,CAR,1,0,0,0,0,0,1,1,1.0,0.0,0,0,12.77
2024,Malcolm Subban,30,CBJ,1,1,0,1,0,0,32,35,0.914,3.0,3,0,60.0
2025,Connor Hellebuyck,31,WPG,63,62,47,12,3,3,1539,1664,0.925,2.0,125,8,3741.37
2025,Andrei Vasilevskiy,30,TBL,63,63,38,20,5,5,1580,1716,0.921,2.18,136,6,3743.08
2025,Sam Montembeault,28,MTL,62,60,31,24,7,7,1513,1679,0.901,2.82,166,4,3533.98
2025,Igor Shesterkin,29,NYR,61,61,27,29,5,5,1584,1751,0.905,2.86,167,6,3505.13
2025,Ilya Sorokin,29,NYI,61,60,30,24,6,6,1537,1695,0.907,2.71,158,4,3498.85
2025,Filip Gustavsson,26,MIN,58,58,31,19,6,6,1546,1692,0.914,2.56,146,5,3423.58
2025,Jake Oettinger,26,DAL,58,58,36,18,4,4,1464,1611,0.909,2.59,147,2,3410.07
2025,Juuse Saros,29,NSH,58,58,20,31,6,6,1425,1592,0.895,2.98,167,4,3357.82
2025,Jeremy Swayman,26,BOS,58,58,22,29,7,7,1456,1632,0.892,3.11,176,4,3390.58
2025,Karel Vejmelka,28,UTA,58,55,26,22,8,8,1362,1507,0.904,2.58,145,1,3368.33
2025,Joey Daccord,28,SEA,57,55,27,23,5,5,1448,1599,0.906,2.75,151,2,3295.25
2025,Jordan Binnington,31,STL,56,54,28,22,5,5,1312,1457,0.9,2.69,145,3,3238.98
2025,Mackenzie Blackwood,28,2TM,56,53,28,21,6,6,1412,1549,0.912,2.55,137,4,3223.63
2025,Ukko-Pekka Luukkonen,25,BUF,55,55,24,24,5,5,1320,1489,0.887,3.2,169,2,3172.22
2025,Sergei Bobrovsky,36,FLA,54,54,33,19,2,2,1245,1375,0.905,2.44,130,5,3199.98
2025,Lukáš Dostál,24,ANA,54,49,23,23,7,7,1467,1625,0.903,3.1,158,1,3057.65
2025,Elvis Merzļikins,30,CBJ,53,52,26,21,5,5,1389,1557,0.892,3.18,168,1,3170.92
2025,Dustin Wolf,23,CGY,53,53,29,16,8,8,1409,1549,0.91,2.64,140,3,3182.37
2025,Kevin Lankinen,29,VAN,51,49,25,15,10,10,1213,1345,0.902,2.62,132,4,3019.78
2025,Stuart Skinner,26,EDM,51,50,26,18,4,4,1187,1325,0.896,2.81,138,3,2942.45
2025,Adin Hill,28,VEG,50,50,32,13,5,5,1172,1293,0.906,2.47,121,4,2940.22
2025,Darcy Kuemper,34,LAK,50,50,31,11,7,7,1166,1266,0.921,2.02,100,5,2973.65
2025,Jacob Markström,35,NJD,49,49,26,16,6,6,1092,1213,0.9,2.5,121,4,2903.02
2025,Alexandar Georgiev,28,2TM,49,47,15,26,4,4,1152,1317,0.875,3.71,165,0,2671.8
2025,Samuel Ersson,25,PHI,47,45,22,17,5,5,1026,1162,0.883,3.14,136,2,2601.78
2025,Pyotr Kochetkov,25,CAR,47,47,27,16,3,3,1051,1172,0.897,2.6,121,2,2790.7
2025,Cam Talbot,37,DET,47,43,21,19,5,5,1166,1295,0.9,2.93,129,2,2642.17
2025,Linus Ullmark,31,OTT,44,43,25,14,3,3,1117,1229,0.909,2.72,112,4,2467.28
2025,Logan Thompson,27,WSH,43,42,31,6,6,6,1067,1172,0.91,2.49,105,2,2535.15
2025,Joseph Woll,26,TOR,42,41,27,14,1,1,1105,1216,0.909,2.73,111,1,2442.33
2025,Charlie Lindgren,31,WSH,39,38,20,14,3,3,881,985,0.894,2.73,104,1,2287.0
2025,Alex Nedeljkovic,29,PIT,38,35,14,15,5,5,942,1054,0.894,3.12,112,1,2150.85
2025,Petr Mrázek,32,2TM,38,38,12,21,2,2,950,1066,0.891,3.35,116,1,2080.12
2025,Spencer Knight,23,2TM,38,36,17,16,3,3,910,1010,0.901,2.72,100,2,2202.85
2025,Tristan Jarry,29,PIT,36,35,16,12,6,6,865,970,0.892,3.12,105,2,2019.9
2025,Calvin Pickard,32,EDM,36,31,22,10,1,1,764,849,0.9,2.71,85,0,1881.72
2025,Arvid Söderblom,25,CHI,36,33,10,18,7,7,976,1087,0.898,3.18,111,0,2096.5
2025,David Rittich,32,LAK,34,31,16,14,2,2,683,771,0.886,2.84,88,0,1860.47
2025,Anthony Stolarz,31,TOR,34,33,21,8,3,3,884,955,0.926,2.14,71,4,1986.9
2025,Justus Annunen,24,2TM,34,29,15,15,1,1,719,814,0.883,3.18,95,0,1789.82
2025,Jake Allen,34,NJD,31,29,13,16,1,1,742,819,0.906,2.66,77,4,1738.17
2025,Joel Hofer,24,STL,31,28,16,8,3,3,693,767,0.904,2.64,74,1,1678.82
2025,Anton Forsberg,32,OTT,30,27,11,12,3,3,692,768,0.901,2.72,76,3,1676.53
2025,Alex Lyon,32,DET,30,26,14,9,1,1,631,704,0.896,2.81,73,1,1559.63
2025,Daniel Vladař,27,CGY,30,29,12,11,6,6,727,810,0.898,2.8,83,2,1781.03
2025,John Gibson,31,ANA,29,28,11,11,2,2,739,811,0.911,2.77,72,0,1562.15
2025,Ilya Samsonov,27,VEG,29,29,16,9,4,4,670,752,0.891,2.82,82,2,1745.37
2025,Casey DeSmith,33,DAL,27,24,14,8,2,2,696,761,0.915,2.59,65,2,1504.5
2025,Joonas Korpisalo,30,BOS,27,24,11,10,3,3,619,693,0.893,2.9,74,3,1529.7
2025,Ivan Fedotov,28,PHI,26,24,6,13,4,4,549,624,0.88,3.15,75,0,1429.02
2025,Marc-André Fleury,40,MIN,26,22,14,9,1,1,602,670,0.899,2.93,68,1,1390.27
2025,Philipp Grubauer,33,SEA,26,26,8,17,1,1,596,681,0.875,3.49,85,0,1460.48
2025,Vítek Vaněček,29,2TM,25,24,5,14,4,4,640,724,0.884,3.62,84,1,1393.63
2025,Jonathan Quick,39,NYR,24,20,11,7,2,2,587,657,0.893,3.17,70,3,1325.68
2025,James Reimer,36,2TM,24,21,10,10,2,2,594,663,0.896,3.04,69,1,1362.83
2025,Scott Wedgewood,32,2TM,24,22,14,6,2,2,525,578,0.908,2.32,53,2,1373.08
2025,Thatcher Demko,29,VAN,23,23,10,8,3,3,506,569,0.889,2.9,63,1,1301.97
2025,Frederik Andersen,35,CAR,22,22,13,8,1,1,491,546,0.899,2.5,55,1,1319.52
2025,Connor Ingram,27,UTA,22,22,9,8,4,4,492,558,0.882,3.27,66,0,1210.12
2025,Eric Comrie,29,WPG,20,20,9,10,1,1,500,547,0.914,2.39,47,2,1179.55
2025,Daniil Tarasov,25,CBJ,20,19,7,10,2,2,479,544,0.881,3.54,65,1,1100.42
2025,Jonas Johansson,29,TBL,19,18,9,6,3,3,496,554,0.895,3.13,58,1,1110.25
2025,Aleksei Kolosov,23,PHI,17,13,5,9,1,1,352,406,0.867,3.59,54,0,901.92
