season,name,age,team,games_played,games_started,wins,losses,ties,overtime_losses,saves,shots_against,save_percentage,goals_against_average,goals_against,shutouts,minutes
2023,Connor Hellebuyck,29,WPG,64,64,37,25,2,2,1807,1964,0.92,2.49,157,4,3777.97
2023,Juuse Saros,27,NSH,64,63,33,23,7,7,1928,2099,0.919,2.69,171,2,3809.98
2023,Alexandar Georgiev,26,COL,62,62,40,16,6,6,1748,1904,0.918,2.53,156,5,3700.33
2023,Jake Oettinger,24,DAL,62,61,37,11,11,11,1632,1776,0.919,2.37,144,5,3644.88
2023,Ilya Sorokin,27,NYI,62,60,31,22,7,7,1698,1838,0.924,2.34,140,6,3587.07
2023,Jordan Binnington,29,STL,61,60,27,27,6,6,1632,1826,0.894,3.31,194,2,3516.05
2023,Andrei Vasilevskiy,28,TBL,60,60,34,22,4,4,1716,1875,0.915,2.65,159,4,3596.42
2023,Jacob Markström,33,CGY,59,58,23,21,12,12,1376,1542,0.892,2.92,166,1,3410.83
2023,Igor Shesterkin,27,NYR,58,58,37,13,8,8,1575,1719,0.916,2.48,144,3,3488.77
2023,Darcy Kuemper,32,WSH,57,56,22,26,7,7,1520,1674,0.908,2.87,154,5,3223.78
2023,Ville Husso,27,DET,56,56,26,22,7,7,1436,1603,0.896,3.11,167,4,3220.23
2023,Carter Hart,24,PHI,55,54,22,23,10,10,1510,1665,0.907,2.94,155,2,3163.77
2023,John Gibson,29,ANA,53,52,14,31,8,8,1783,1983,0.899,3.99,200,1,3004.92
2023,Vítek Vaněček,27,NJD,52,48,33,11,4,4,1214,1333,0.911,2.45,119,3,2915.57
2023,Sergei Bobrovsky,34,FLA,50,49,24,20,3,3,1321,1466,0.901,3.07,145,1,2834.37
2023,Stuart Skinner,24,EDM,50,48,29,14,5,5,1403,1536,0.913,2.75,133,1,2903.08
2023,Karel Vejmelka,26,ARI,50,49,18,24,6,6,1502,1670,0.899,3.43,168,3,2940.83
2023,Linus Ullmark,29,BOS,49,48,40,6,1,1,1366,1457,0.938,1.89,91,2,2882.2
2023,Martin Jones,33,SEA,48,42,27,13,3,3,1014,1145,0.886,2.99,131,3,2625.65
2023,Tristan Jarry,27,PIT,47,47,24,13,7,7,1286,1414,0.909,2.9,128,2,2650.03
2023,Marc-André Fleury,38,MIN,46,45,24,16,4,4,1241,1367,0.908,2.85,126,2,2654.28
2023,James Reimer,34,SJS,43,41,12,21,8,8,1188,1335,0.89,3.48,147,3,2538.0
2023,Jake Allen,32,MTL,42,41,15,24,3,3,1190,1335,0.891,3.55,145,1,2450.42
2023,Ilya Samsonov,25,TOR,42,40,27,10,5,5,1088,1184,0.919,2.33,96,4,2475.6
2023,Jonathan Quick,37,2TM,41,36,16,15,6,6,953,1080,0.882,3.41,127,2,2234.75
2023,Sam Montembeault,26,MTL,40,39,16,19,3,3,1212,1345,0.901,3.42,133,0,2333.85
2023,Philipp Grubauer,31,SEA,39,36,17,14,4,4,832,930,0.895,2.85,98,0,2065.62
2023,Filip Gustavsson,24,MIN,39,37,22,9,7,7,1092,1173,0.931,2.1,81,3,2310.93
2023,Petr Mrázek,30,CHI,39,38,10,22,3,3,1116,1248,0.894,3.66,132,0,2165.17
2023,Joonas Korpisalo,28,2TM,39,37,18,14,4,4,1102,1206,0.914,2.87,104,1,2171.95
2023,Casey DeSmith,31,PIT,38,33,15,16,4,4,1033,1142,0.905,3.17,109,0,2065.95
2023,Pheonix Copley,31,LAK,37,35,24,6,3,3,855,947,0.903,2.64,92,1,2089.48
2023,Kaapo Kähkönen,26,SJS,37,37,9,20,7,7,1014,1149,0.883,3.85,135,1,2106.25
2023,Jeremy Swayman,24,BOS,37,33,24,6,4,4,877,953,0.92,2.27,76,4,2012.98
2023,Logan Thompson,25,VEG,37,36,21,13,3,3,1036,1132,0.915,2.65,96,2,2171.37
2023,Jack Campbell,31,EDM,36,34,21,9,4,4,912,1027,0.888,3.41,115,1,2026.38
2023,Cam Talbot,35,OTT,36,32,17,14,2,2,840,935,0.898,2.93,95,1,1947.0
2023,Frederik Andersen,33,CAR,34,33,21,11,1,1,767,849,0.903,2.48,82,1,1984.35
2023,Ukko-Pekka Luukkonen,23,BUF,33,32,17,11,4,4,939,1054,0.891,3.61,115,0,1910.22
2023,Thatcher Demko,27,VAN,32,32,14,14,4,4,906,1005,0.901,3.16,99,1,1878.52
2023,Charlie Lindgren,29,WSH,31,26,13,11,3,3,767,853,0.899,3.05,86,0,1692.07
2023,Elvis Merzļikins,28,CBJ,30,27,7,18,2,2,779,889,0.876,4.23,110,0,1560.2
2023,Spencer Martin,27,VAN,29,27,11,15,1,1,723,830,0.871,3.99,107,0,1610.18
2023,Anton Forsberg,30,OTT,28,25,11,11,2,2,737,817,0.902,3.26,80,2,1471.72
2023,Adin Hill,26,VEG,27,25,16,7,1,1,660,721,0.915,2.45,61,0,1490.9
2023,Connor Ingram,25,ARI,27,26,6,13,8,8,871,960,0.907,3.37,89,1,1586.67
2023,Antti Raanta,33,CAR,27,26,19,3,3,3,586,644,0.91,2.23,58,4,1561.22
2023,Alex Stalock,35,CHI,27,24,9,15,2,2,730,804,0.908,3.01,74,2,1475.33
2023,Daniel Vladař,25,CGY,27,23,14,6,5,5,596,667,0.894,2.87,71,0,1483.92
2023,Craig Anderson,41,BUF,26,24,11,11,2,2,747,823,0.908,3.06,76,1,1490.03
2023,Matt Murray,28,TOR,26,26,14,8,2,2,687,761,0.903,3.01,74,1,1473.17
2023,Matt Murray,24,DAL,3,3,1,2,0,0,54,64,0.844,3.39,10,0,177.03
2023,Jaroslav Halák,37,NYR,25,24,10,9,5,5,614,680,0.903,2.72,66,1,1453.93
2023,Pyotr Kochetkov,23,CAR,24,23,12,7,5,5,570,627,0.909,2.44,57,4,1403.93
2023,Semyon Varlamov,34,NYI,23,22,11,9,2,2,629,689,0.913,2.7,60,2,1334.73
