season,name,age,team,games_played,games_started,wins,losses,ties,overtime_losses,saves,shots_against,save_percentage,goals_against_average,goals_against,shutouts
2025,Leevi Merilainen,22,OTT,12,11,8,3,1,22,295,273,0.925,1.99,-22,3
2025,Jet Greaves,23,CBJ,11,11,7,2,2,21,339,318,0.938,1.91,-21,2
2025,Cayden Primeau,25,MTL,11,7,2,3,1,41,250,209,0.836,4.7,-41,0
2025,Arturs Silovs,23,VAN,10,9,2,6,1,33,238,205,0.861,3.65,-33,0
2025,Semyon Varlamov,36,NYI,10,10,3,4,3,29,262,233,0.889,2.89,-29,0
2025,Devon Levi,23,BUF,9,8,2,7,0,33,258,225,0.872,4.12,-33,0
2025,Spencer Martin,29,CAR,9,7,3,4,1,27,175,148,0.846,3.89,-27,1
2025,Georgi Romanov,25,SJS,8,6,0,6,0,27,219,192,0.877,3.89,-27,0
2025,Nico Daws,24,NJD,6,4,3,1,0,7,114,107,0.939,1.6,-7,1
2025,Dennis Hildeby,23,TOR,6,6,3,3,0,20,156,136,0.872,3.33,-20,0
2025,Jaxson Stauber,25,UTA,6,4,2,1,1,17,158,141,0.892,3.26,-17,1
2025,Dustin Tokarski,35,CAR,6,6,4,2,0,13,132,119,0.902,2.18,-13,1
2025,Akira Schmid,24,VEG,5,3,2,0,1,5,90,85,0.944,1.26,-5,0
2025,Drew Commesso,22,CHI,2,1,0,1,0,4,26,22,0.846,3.36,-4,0
2025,Trent Miner,23,COL,2,1,0,1,0,4,33,29,0.879,2.62,-4,0
2025,Matt Murray,30,TOR,2,2,1,1,0,7,58,51,0.879,3.54,-7,0
2025,Olivier Rodrigue,24,EDM,2,1,0,1,0,4,29,25,0.862,3.1,-4,0
2025,Jakub Skarek,25,NYI,2,1,0,1,0,5,39,34,0.872,3.94,-5,0
2025,Mads Søgaard,24,OTT,2,1,1,1,0,8,40,32,0.8,5.24,-8,0
2025,Nikita Tolopilo,24,VAN,2,1,1,1,0,3,26,23,0.885,2.15,-3,0
2025,Jesper Wallstedt,22,MIN,2,2,0,2,0,8,51,43,0.843,4.09,-8,0
2025,Pheonix Copley,33,LAK,1,0,0,0,0,2,12,10,0.833,4.37,-2,0
2025,Sebastian Cossa,22,DET,1,0,1,0,0,2,14,12,0.857,2.67,-2,0
2025,Louis Domingue,32,NYR,1,1,1,0,0,2,27,25,0.926,2.0,-2,0
2025,Brandon Halverson,28,TBL,1,1,0,1,0,5,24,19,0.792,5.18,-5,0
2025,Kaapo Kähkönen,28,COL,1,1,0,1,0,4,20,16,0.8,4.12,-4,0
2025,Niklas Kokko,20,SEA,1,0,0,0,0,2,6,4,0.667,4.01,-2,0
2025,Tristan Lennox,22,NYI,1,0,0,0,0,1,2,1,0.5,12.72,-1,0
2025,Victor Ostman,24,SEA,1,0,0,0,0,0,12,12,1.0,0.0,0,0
2025,Yaniv Perets,24,CAR,1,0,0,0,0,1,7,6,0.857,7.32,-1,0
2025,Erik Portillo,24,LAK,1,1,1,0,0,1,29,28,0.966,1.02,-1,0
2025,Hunter Shepard,29,WSH,1,1,0,1,0,7,26,19,0.731,7.0,-7,0
2025,Clay Stevenson,25,WSH,1,1,0,1,0,5,38,33,0.868,5.0,-5,0
2025,Ales Stezka,28,SEA,1,1,0,1,0,3,23,20,0.87,3.09,-3,0
2025,Matt Villalta,25,UTA,1,1,1,0,0,3,31,28,0.903,3.0,-3,0
