name,percentile_rank,percentile_total,wins_percentile,saves_percentile,save_percentage_percentile,goals_against_average_percentile,wins,saves,save_percentage,goals_against_average
Victor Ostman,55.0,212.62135922330097,8.25242718446602,4.368932038834951,100.0,100.0,0,12,1.0,0.0
Arvid Söderblom,56.0,208.25242718446603,48.54368932038835,70.87378640776699,56.79611650485437,32.038834951456316,10,1087,0.898,3.18
Joonas Korpisalo,57.0,200.48543689320388,51.94174757281553,52.42718446601942,46.116504854368934,50.0,11,693,0.893,2.9
James Reimer,58.0,195.63106796116506,48.54368932038835,49.51456310679612,52.9126213592233,44.66019417475729,10,663,0.896,3.04
Petr Mrázek,59.0,191.2621359223301,54.85436893203883,69.90291262135922,40.29126213592233,26.21359223300971,12,1066,0.891,3.35
Justus Annunen,60.0,188.3495145631068,63.59223300970874,62.13592233009708,30.582524271844658,32.038834951456316,15,814,0.883,3.18
Alexandar Georgiev,61.0,182.5242718446602,63.59223300970874,80.58252427184466,21.844660194174757,16.50485436893204,15,1317,0.875,3.71
Thatcher Demko,62.0,181.55339805825244,48.54368932038835,45.63106796116505,37.37864077669903,50.0,10,569,0.889,2.9
Jonathan Quick,63.0,180.58252427184468,51.94174757281553,48.54368932038835,46.116504854368934,33.980582524271846,11,657,0.893,3.17
Jonas Johansson,64.0,176.2135922330097,45.63106796116505,43.689320388349515,50.0,36.89320388349515,9,554,0.895,3.13
Yaroslav Askarov,65.0,166.50485436893203,34.95145631067961,36.89320388349515,52.9126213592233,41.74757281553398,4,357,0.896,3.1
Nikita Tolopilo,66.0,153.88349514563106,19.41747572815534,10.679611650485436,33.49514563106796,90.29126213592234,1,26,0.885,2.15
Semyon Varlamov,67.0,152.4271844660194,31.55339805825243,32.038834951456316,37.37864077669903,51.45631067961165,3,262,0.889,2.89
Matt Villalta,68.0,150.0,19.41747572815534,15.53398058252427,69.41747572815534,45.63106796116505,1,31,0.903,3.0
Ivan Fedotov,69.0,148.54368932038835,38.83495145631068,47.57281553398058,27.184466019417474,34.95145631067961,6,624,0.88,3.15
Connor Ingram,70.0,147.5728155339806,45.63106796116505,44.66019417475729,29.126213592233007,28.155339805825243,9,558,0.882,3.27
Vítek Vaněček,71.0,142.23300970873788,37.37864077669903,54.36893203883495,32.038834951456316,18.446601941747574,5,724,0.884,3.62
Philipp Grubauer,72.0,138.83495145631068,43.203883495145625,51.45631067961165,21.844660194174757,22.330097087378643,8,681,0.875,3.49
Daniil Tarasov,73.0,130.58252427184468,40.77669902912621,40.77669902912621,28.155339805825243,20.87378640776699,7,544,0.881,3.54
Jaxson Stauber,74.0,124.75728155339806,26.21359223300971,26.21359223300971,43.203883495145625,29.126213592233007,2,158,0.892,3.26
Trent Miner,74.0,124.75728155339806,8.25242718446602,16.50485436893204,25.728155339805824,74.27184466019418,0,33,0.879,2.62
Ville Husso,75.0,123.30097087378641,26.21359223300971,34.95145631067961,38.83495145631068,23.300970873786408,2,336,0.89,3.47
Joel Blomqvist,76.0,122.81553398058253,34.95145631067961,38.83495145631068,33.49514563106796,15.53398058252427,4,425,0.885,3.81
Aleksei Kolosov,77.0,110.19417475728154,37.37864077669903,37.86407766990291,15.53398058252427,19.41747572815534,5,406,0.867,3.59
Marcus Högberg,78.0,108.73786407766991,26.21359223300971,33.980582524271846,24.271844660194176,24.271844660194176,2,335,0.878,3.38
Sebastian Cossa,79.0,107.28155339805825,19.41747572815534,5.825242718446602,12.135922330097088,69.90291262135922,1,14,0.857,2.67
Dennis Hildeby,80.0,103.39805825242718,31.55339805825243,25.24271844660194,19.41747572815534,27.184466019417474,3,156,0.872,3.33
Matt Murray,81.0,87.37864077669902,19.41747572815534,21.35922330097087,25.728155339805824,20.87378640776699,1,58,0.879,3.54
Arturs Silovs,82.0,86.40776699029126,26.21359223300971,29.126213592233007,13.592233009708737,17.475728155339805,2,238,0.861,3.65
Devon Levi,83.0,85.92233009708738,26.21359223300971,31.06796116504854,19.41747572815534,9.223300970873787,2,258,0.872,4.12
Spencer Martin,84.0,83.00970873786407,31.55339805825243,27.184466019417474,10.194174757281553,14.077669902912621,3,175,0.846,3.89
Olivier Rodrigue,85.0,78.64077669902912,8.25242718446602,14.077669902912621,14.563106796116504,41.74757281553398,0,29,0.862,3.1
Ales Stezka,86.0,77.18446601941747,8.25242718446602,7.766990291262135,17.475728155339805,43.689320388349515,0,23,0.87,3.09
Georgi Romanov,87.0,73.7864077669903,8.25242718446602,28.155339805825243,23.300970873786408,14.077669902912621,0,219,0.877,3.89
Cayden Primeau,88.0,70.87378640776699,26.21359223300971,30.097087378640776,7.766990291262135,6.796116504854369,2,250,0.836,4.7
Jakub Skarek,89.0,58.737864077669904,8.25242718446602,18.446601941747574,19.41747572815534,12.62135922330097,0,39,0.872,3.94
Drew Commesso,90.0,54.36893203883495,8.25242718446602,10.679611650485436,10.194174757281553,25.24271844660194,0,26,0.846,3.36
Clay Stevenson,91.0,48.05825242718447,8.25242718446602,17.475728155339805,16.50485436893204,5.825242718446602,0,38,0.868,5.0
Jesper Wallstedt,92.0,48.05825242718446,8.25242718446602,20.388349514563107,8.737864077669903,10.679611650485436,0,51,0.843,4.09
Mads Søgaard,92.0,48.05825242718446,19.41747572815534,19.41747572815534,5.339805825242718,3.8834951456310676,1,40,0.8,5.24
Kaapo Kähkönen,93.0,29.611650485436893,8.25242718446602,6.796116504854369,5.339805825242718,9.223300970873787,0,20,0.8,4.12
Pheonix Copley,94.0,27.184466019417474,8.25242718446602,4.368932038834951,6.796116504854369,7.766990291262135,0,12,0.833,4.37
Brandon Halverson,95.0,25.728155339805824,8.25242718446602,8.737864077669903,3.8834951456310676,4.854368932038835,0,24,0.792,5.18
Yaniv Perets,96.0,25.242718446601945,8.25242718446602,2.912621359223301,12.135922330097088,1.9417475728155338,0,7,0.857,7.32
Hunter Shepard,97.0,24.75728155339806,8.25242718446602,10.679611650485436,2.912621359223301,2.912621359223301,0,26,0.731,7.0
Niklas Kokko,98.0,23.78640776699029,8.25242718446602,1.9417475728155338,1.9417475728155338,11.650485436893204,0,6,0.667,4.01
Tristan Lennox,99.0,11.16504854368932,8.25242718446602,0.9708737864077669,0.9708737864077669,0.9708737864077669,0,2,0.5,12.72
