name,percentile_rank,percentile_total,wins_percentile,saves_percentile,save_percentage_percentile,goals_against_average_percentile,wins,saves,save_percentage,goals_against_average
Connor Hellebuyck,1.0,381.55339805825247,100.0,95.14563106796116,92.71844660194175,93.68932038834951,47,1664,0.925,2.0
Andrei Vasilevskiy,2.0,377.6699029126214,99.02912621359224,99.02912621359224,90.77669902912622,88.83495145631069,38,1716,0.921,2.18
Filip Gustavsson,3.0,358.25242718446606,93.68932038834951,97.0873786407767,87.86407766990291,79.6116504854369,31,1692,0.914,2.56
Darcy Kuemper,4.0,354.368932038835,93.68932038834951,77.66990291262135,90.77669902912622,92.23300970873787,31,1266,0.921,2.02
Jake Oettinger,5.0,348.54368932038835,98.05825242718447,92.23300970873787,81.06796116504854,77.18446601941747,36,1611,0.909,2.59
Mackenzie Blackwood,6.0,343.6893203883495,88.83495145631069,87.86407766990291,86.40776699029125,80.58252427184466,28,1549,0.912,2.55
Sergei Bobrovsky,7.0,339.32038834951453,97.0873786407767,83.49514563106796,73.30097087378641,85.43689320388349,33,1375,0.905,2.44
Adin Hill,8.0,334.9514563106796,96.11650485436894,78.64077669902912,75.72815533980582,84.46601941747572,32,1293,0.906,2.47
Ilya Sorokin,9.0,334.46601941747576,91.2621359223301,98.05825242718447,77.66990291262135,67.47572815533981,30,1695,0.907,2.71
Logan Thompson,10.0,334.4660194174757,93.68932038834951,73.30097087378641,83.98058252427184,83.49514563106796,31,1172,0.91,2.49
Dustin Wolf,10.0,334.4660194174757,90.29126213592234,87.86407766990291,83.98058252427184,72.33009708737865,29,1549,0.91,2.64
Anthony Stolarz,11.0,323.30097087378647,72.33009708737865,65.0485436893204,94.66019417475728,91.2621359223301,21,955,0.926,2.14
Karel Vejmelka,12.0,318.44660194174753,82.03883495145631,86.40776699029125,71.35922330097088,78.64077669902912,26,1507,0.904,2.58
Joey Daccord,13.0,313.1067961165048,85.92233009708737,91.2621359223301,75.72815533980582,60.19417475728155,27,1599,0.906,2.75
Igor Shesterkin,14.0,311.6504854368932,85.92233009708737,100.0,73.30097087378641,52.42718446601942,27,1751,0.905,2.86
Sam Montembeault,15.0,309.7087378640777,93.68932038834951,96.11650485436894,65.0485436893204,54.85436893203883,31,1679,0.901,2.82
Joseph Woll,16.0,305.3398058252427,85.92233009708737,75.72815533980582,81.06796116504854,62.62135922330098,27,1216,0.909,2.73
Jordan Binnington,17.0,303.88349514563106,88.83495145631069,84.46601941747572,61.6504854368932,68.93203883495146,28,1457,0.9,2.69
Kevin Lankinen,18.0,303.3980582524272,79.12621359223301,82.52427184466019,67.47572815533981,74.27184466019418,25,1345,0.902,2.62
Linus Ullmark,19.0,301.94174757281553,79.12621359223301,76.69902912621359,81.06796116504854,65.0485436893204,25,1229,0.909,2.72
Jacob Markström,20.0,300.4854368932039,82.03883495145631,74.75728155339806,61.6504854368932,82.03883495145631,26,1213,0.9,2.5
Pyotr Kochetkov,21.0,290.2912621359223,85.92233009708737,73.30097087378641,55.33980582524271,75.72815533980582,27,1172,0.897,2.6
Casey DeSmith,22.0,283.00970873786406,60.19417475728155,56.310679611650485,89.32038834951457,77.18446601941747,14,761,0.915,2.59
Lukáš Dostál,23.0,281.0679611650486,76.69902912621359,93.20388349514563,69.41747572815534,41.74757281553398,23,1625,0.903,3.1
Stuart Skinner,24.0,273.3009708737864,82.03883495145631,81.55339805825243,52.9126213592233,56.79611650485437,26,1325,0.896,2.81
Scott Wedgewood,25.0,272.8155339805825,60.19417475728155,46.601941747572816,78.64077669902912,87.37864077669903,14,578,0.908,2.32
Jet Greaves,26.0,268.93203883495147,40.77669902912621,35.92233009708738,96.11650485436894,96.11650485436894,7,339,0.938,1.91
Calvin Pickard,27.0,267.9611650485437,74.75728155339806,64.07766990291263,61.6504854368932,67.47572815533981,22,849,0.9,2.71
Joel Hofer,28.0,267.4757281553398,66.50485436893204,57.28155339805825,71.35922330097088,72.33009708737865,16,767,0.904,2.64
Spencer Knight,29.0,266.99029126213594,68.93203883495146,67.96116504854369,65.0485436893204,65.0485436893204,17,1010,0.901,2.72
Jake Allen,30.0,266.50485436893206,56.79611650485437,63.10679611650486,75.72815533980582,70.87378640776699,13,819,0.906,2.66
Leevi Merilainen,31.0,264.07766990291265,43.203883495145625,33.00970873786408,92.71844660194175,95.14563106796116,8,295,0.925,1.99
Eric Comrie,32.0,262.62135922330094,45.63106796116505,42.71844660194174,87.86407766990291,86.40776699029125,9,547,0.914,2.39
Cam Talbot,33.0,261.6504854368932,72.33009708737865,79.6116504854369,61.6504854368932,48.05825242718447,21,1295,0.9,2.93
John Gibson,34.0,257.7669902912621,51.94174757281553,61.165048543689316,85.43689320388349,59.22330097087378,11,811,0.911,2.77
Juuse Saros,35.0,257.28155339805824,70.3883495145631,90.29126213592234,50.0,46.601941747572816,20,1592,0.895,2.98
Jeremy Swayman,36.0,251.94174757281553,74.75728155339806,94.1747572815534,43.203883495145625,39.80582524271845,22,1632,0.892,3.11
Nico Daws,37.0,249.02912621359224,31.55339805825243,23.300970873786408,97.0873786407767,97.0873786407767,3,114,0.939,1.6
Charlie Lindgren,38.0,248.05825242718447,70.3883495145631,66.99029126213593,48.05825242718447,62.62135922330098,20,985,0.894,2.73
Elvis Merzļikins,39.0,246.60194174757282,82.03883495145631,89.32038834951457,43.203883495145625,32.038834951456316,26,1557,0.892,3.18
Akira Schmid,40.0,244.6601941747573,26.21359223300971,22.330097087378643,98.05825242718447,98.05825242718447,2,90,0.944,1.26
Anton Forsberg,41.0,240.29126213592235,51.94174757281553,58.252427184466015,65.0485436893204,65.0485436893204,11,768,0.901,2.72
Frederik Andersen,42.0,239.32038834951453,56.79611650485437,41.74757281553398,58.7378640776699,82.03883495145631,13,546,0.899,2.5
Erik Portillo,43.0,231.5533980582524,19.41747572815534,14.077669902912621,99.02912621359224,99.02912621359224,1,29,0.966,1.02
Daniel Vladař,44.0,230.09708737864077,54.85436893203883,60.19417475728155,56.79611650485437,58.252427184466015,12,810,0.898,2.8
Ukko-Pekka Luukkonen,45.0,229.12621359223297,77.66990291262135,85.43689320388349,35.92233009708738,30.097087378640776,24,1489,0.887,3.2
Alex Lyon,46.0,223.3009708737864,60.19417475728155,53.398058252427184,52.9126213592233,56.79611650485437,14,704,0.896,2.81
Jakub Dobes,47.0,222.81553398058253,40.77669902912621,39.80582524271845,81.06796116504854,61.165048543689316,7,440,0.909,2.74
Louis Domingue,48.0,220.38834951456312,19.41747572815534,12.62135922330097,94.66019417475728,93.68932038834951,1,27,0.926,2.0
Marc-André Fleury,49.0,217.47572815533982,60.19417475728155,50.48543689320388,58.7378640776699,48.05825242718447,14,670,0.899,2.93
Ilya Samsonov,50.0,216.9902912621359,66.50485436893204,55.33980582524271,40.29126213592233,54.85436893203883,16,752,0.891,2.82
Dustin Tokarski,51.0,215.5339805825243,34.95145631067961,24.271844660194176,67.47572815533981,88.83495145631069,4,132,0.902,2.18
Alex Nedeljkovic,52.0,215.53398058252426,60.19417475728155,68.93203883495146,48.05825242718447,38.349514563106794,14,1054,0.894,3.12
Tristan Jarry,53.0,214.07766990291262,66.50485436893204,66.01941747572816,43.203883495145625,38.349514563106794,16,970,0.892,3.12
David Rittich,53.0,214.07766990291262,66.50485436893204,59.22330097087378,34.95145631067961,53.398058252427184,16,771,0.886,2.84
Samuel Ersson,54.0,213.10679611650485,74.75728155339806,71.84466019417476,30.582524271844658,35.92233009708738,22,1162,0.883,3.14
