name,position,percentile_rank,percentile_total,goals_percentile,assists_percentile,power_play_points_percentile,hits_percentile,blocked_shots_percentile,face_off_wins_percentile,shots_percentile,goals,assists,power_play_points,hits,blocked_shots,face_off_wins,shots
Mika Zibanejad,C,1.0,638.5638297872341,97.3404255319149,95.2127659574468,99.36170212765958,82.07446808510637,72.23404255319149,96.27659574468085,96.06382978723404,34,44,35,105,50,574,215
Tim Stützle,LW,2.0,632.1276595744681,97.3404255319149,96.48936170212767,97.76595744680851,88.08510638297872,68.29787234042554,90.69148936170212,93.45744680851064,34,49,29,126,44,338,194
Nick Suzuki,C,3.0,629.468085106383,94.8936170212766,99.57446808510639,99.8936170212766,64.68085106382979,79.36170212765957,98.93617021276596,92.12765957446808,29,72,43,62,62,731,183
Macklin Celebrini,F,3.0,629.468085106383,99.52127659574468,99.36170212765958,98.93617021276596,59.89361702127659,74.94680851063829,97.18085106382979,99.62765957446808,45,70,33,53,53,625,287
Tage Thompson,C,4.0,625.7446808510638,98.61702127659574,93.88297872340425,95.2127659574468,75.74468085106383,71.11702127659575,91.91489361702128,99.25531914893617,40,41,24,85,48,390,272
Tomáš Hertl,C,5.0,623.7234042553192,91.17021276595744,89.14893617021276,95.90425531914893,85.0531914893617,69.14893617021278,98.77659574468085,94.52127659574468,24,34,25,114,45,720,202
Adam Fantilli,C,6.0,621.8617021276596,91.17021276595744,89.8936170212766,84.94680851063829,90.74468085106383,73.24468085106382,95.95744680851064,95.90425531914893,24,35,13,139,51,552,214
Nathan MacKinnon,C,7.0,620.904255319149,100.0,99.7340425531915,98.40425531914893,66.06382978723404,58.24468085106383,98.45744680851064,100.0,53,74,30,64,35,681,350
Wyatt Johnston,C,8.0,618.6702127659574,99.52127659574468,93.88297872340425,99.7340425531915,62.07446808510638,76.11702127659574,92.34042553191489,95.0,45,41,42,56,55,402,206
Nico Hischier,C,9.0,618.5106382978723,94.25531914893617,92.07446808510639,94.20212765957446,63.08510638297873,79.36170212765957,100.0,95.53191489361701,28,38,23,58,62,1008,211
Juraj Slafkovsky,LW,10.0,615.4255319148937,95.58510638297872,94.73404255319149,97.18085106382979,82.07446808510637,84.25531914893617,69.9468085106383,91.64893617021276,30,43,28,105,78,20,180
Matt Boldy,LW,11.0,609.6808510638298,99.09574468085106,94.73404255319149,98.40425531914893,64.09574468085107,77.76595744680851,77.07446808510639,98.51063829787235,42,43,30,60,58,55,254
Dylan Cozens,C,12.0,607.0212765957447,94.25531914893617,86.27659574468085,97.76595744680851,98.45744680851064,42.5,92.97872340425532,94.7872340425532,28,31,29,215,24,435,204
Charlie Coyle,C,13.0,602.0212765957447,86.48936170212767,92.07446808510639,84.94680851063829,84.04255319148936,74.94680851063829,97.3404255319149,82.18085106382979,20,38,13,111,53,626,144
Elias Pettersson,C,14.0,600.0531914893617,78.77659574468086,90.58510638297872,93.40425531914893,68.45744680851064,92.7127659574468,97.97872340425532,78.13829787234042,15,36,22,67,108,642,131
Vincent Trocheck,C,15.0,599.0957446808511,80.47872340425532,91.27659574468086,88.24468085106383,97.18085106382979,71.64893617021276,97.18085106382979,73.08510638297872,16,37,16,193,49,625,114
Adrian Kempe,LW,16.0,597.340425531915,97.76595744680851,91.27659574468086,83.56382978723404,88.29787234042553,62.287234042553195,76.70212765957447,97.44680851063829,36,37,12,127,39,54,226
Alex Tuch,RW,17.0,596.8085106382978,96.91489361702128,88.40425531914894,80.0531914893617,74.52127659574468,87.7659574468085,75.42553191489361,93.72340425531915,33,33,9,82,90,46,195
Sam Bennett,C,18.0,595.372340425532,92.92553191489363,87.3936170212766,86.27659574468085,85.53191489361703,53.98936170212766,94.8936170212766,94.36170212765957,26,32,14,115,32,517,201
Brock Nelson,C,19.0,595.3191489361702,96.91489361702128,87.3936170212766,89.84042553191489,48.56382978723404,81.01063829787233,99.04255319148936,92.5531914893617,33,32,18,38,65,735,186
Steven Stamkos,C,20.0,595.1063829787233,99.09574468085106,77.81914893617021,96.27659574468085,77.7127659574468,59.202127659574465,90.0,95.0,42,24,26,89,36,323,206
Connor McDavid,C,21.0,594.5744680851063,99.7872340425532,100.0,100.0,50.26595744680851,51.11702127659574,93.51063829787233,99.8936170212766,48,90,54,40,30,457,306
Jack Eichel,C,22.0,594.0957446808511,93.61702127659575,98.93617021276596,97.18085106382979,45.851063829787236,63.670212765957444,96.06382978723404,98.77659574468085,27,63,28,35,40,558,260
Joel Eriksson Ek,C,23.0,591.968085106383,84.94680851063829,87.3936170212766,88.24468085106383,82.5,56.96808510638298,98.45744680851064,93.45744680851064,19,32,16,106,34,681,194
Mark Scheifele,C,24.0,590.9574468085107,97.76595744680851,99.14893617021276,93.40425531914893,43.19148936170213,70.26595744680851,96.59574468085106,90.58510638297872,36,67,22,32,47,594,175
Tom Wilson,RW,25.0,590.7978723404256,95.58510638297872,87.3936170212766,83.56382978723404,95.90425531914893,74.94680851063829,68.67021276595744,84.73404255319149,30,32,12,179,53,17,153
Jake Guentzel,C,26.0,590.6914893617021,98.13829787234043,96.96808510638299,98.40425531914893,49.41489361702128,65.05319148936171,86.27659574468085,96.43617021276596,38,50,30,39,41,209,220
