name,position,overall_rank,goals_rank,assists_rank,power_play_points_rank,hits_rank,blocked_shots_rank,face_off_wins_rank,shots_rank
Nathan MacKinnon,C,1.0,1.0,3.0,10.0,130.0,118.0,14.0,1.0
Macklin Celebrini,F,2.0,4.0,6.0,8.0,141.0,100.0,25.0,4.0
Mika Zibanejad,C,3.0,14.0,23.0,6.0,89.0,103.0,32.0,30.0
Dylan Cozens,C,4.0,20.0,36.0,11.0,15.0,129.0,61.0,38.0
Nick Suzuki,C,5.0,19.0,4.0,2.0,132.0,91.0,11.0,52.0
Adam Fantilli,C,5.0,24.0,32.0,27.0,60.0,102.0,35.0,31.0
Tomáš Hertl,C,6.0,24.0,33.0,15.0,81.0,108.0,12.0,40.0
Nico Hischier,C,7.0,20.0,29.0,17.0,136.0,91.0,1.0,34.0
Connor McDavid,C,8.0,3.0,1.0,1.0,154.0,123.0,56.0,2.0
Tage Thompson,C,8.0,8.0,26.0,16.0,109.0,105.0,69.0,7.0
Tim Stützle,LW,9.0,14.0,19.0,11.0,71.0,109.0,79.0,45.0
Joel Eriksson Ek,C,10.0,29.0,35.0,24.0,88.0,119.0,14.0,45.0
Dylan Larkin,C,11.0,14.0,34.0,16.0,148.0,120.0,4.0,20.0
Vincent Trocheck,C,12.0,32.0,30.0,24.0,25.0,104.0,25.0,117.0
Jack Eichel,C,13.0,21.0,10.0,12.0,159.0,113.0,34.0,11.0
John Tavares,C,14.0,17.0,27.0,19.0,120.0,129.0,3.0,47.0
Auston Matthews,C,15.0,21.0,41.0,28.0,152.0,73.0,31.0,21.0
Sam Bennett,C,16.0,22.0,35.0,26.0,80.0,121.0,43.0,41.0
Wyatt Johnston,C,17.0,4.0,26.0,3.0,138.0,98.0,66.0,37.0
Bo Horvat,C,18.0,17.0,41.0,24.0,143.0,115.0,13.0,22.0
Alex Laferriere,RW,18.0,27.0,44.0,35.0,8.0,104.0,122.0,35.0
Brock Nelson,C,19.0,15.0,35.0,22.0,156.0,88.0,10.0,50.0
Elias Pettersson,C,19.0,33.0,31.0,18.0,127.0,49.0,18.0,100.0
Charlie Coyle,C,20.0,28.0,29.0,27.0,84.0,100.0,24.0,88.0
