name,position,overall_rank,goals_rank,assists_rank,power_play_points_rank,hits_rank,blocked_shots_rank,face_off_wins_rank,shots_rank
Sebastian Aho,F,21.0,21.0,16.0,13.0,131.0,130.0,29.0,44.0
Jordan Staal,C,22.0,28.0,51.0,36.0,40.0,105.0,2.0,124.0
Sidney Crosby,C,23.0,19.0,22.0,17.0,134.0,123.0,6.0,73.0
Mark Scheifele,C,23.0,12.0,8.0,18.0,162.0,106.0,30.0,58.0
Michael McCarron,RW,24.0,40.0,58.0,40.0,18.0,77.0,40.0,122.0
Leon Draisaitl,C,25.0,13.0,11.0,3.0,160.0,138.0,23.0,50.0
J.T. Miller,C,26.0,31.0,31.0,21.0,73.0,119.0,36.0,88.0
Steven Stamkos,C,27.0,6.0,43.0,14.0,105.0,117.0,85.0,37.0
Ryan Hartman,RW,28.0,25.0,47.0,33.0,130.0,59.0,49.0,66.0
Brady Tkachuk,LW,29.0,26.0,30.0,20.0,44.0,134.0,130.0,26.0
Ryan O'Reilly,C,30.0,23.0,19.0,20.0,177.0,87.0,9.0,80.0
Moritz Seider,D,30.0,38.0,18.0,12.0,69.0,4.0,225.0,49.0
Brayden Schenn,C,31.0,30.0,46.0,31.0,30.0,112.0,57.0,112.0
Nick Schmaltz,C,32.0,15.0,26.0,20.0,171.0,101.0,58.0,36.0
Quinton Byfield,C,33.0,24.0,42.0,29.0,128.0,109.0,45.0,54.0
Erik Haula,LW,34.0,34.0,43.0,28.0,78.0,102.0,48.0,104.0
Nazem Kadri,C,35.0,32.0,33.0,21.0,144.0,123.0,55.0,32.0
Mark Kastelic,C,36.0,36.0,57.0,39.0,15.0,89.0,77.0,131.0
Noah Cates,LW,37.0,30.0,38.0,31.0,92.0,102.0,54.0,99.0
Jake Guentzel,C,38.0,10.0,18.0,10.0,155.0,112.0,116.0,27.0
Shane Pinto,C,39.0,25.0,44.0,35.0,100.0,103.0,68.0,76.0
Timo Meier,RW,40.0,24.0,47.0,30.0,66.0,100.0,178.0,8.0
Dylan Strome,C,40.0,29.0,28.0,19.0,183.0,100.0,5.0,89.0
Jack McBain,C,41.0,39.0,51.0,40.0,6.0,110.0,83.0,125.0
Fraser Minten,C,41.0,31.0,49.0,37.0,57.0,102.0,64.0,114.0
Sean Couturier,C,42.0,36.0,43.0,39.0,94.0,111.0,21.0,112.0
Adrian Kempe,LW,43.0,12.0,30.0,28.0,70.0,114.0,181.0,22.0
Connor Bedard,C,43.0,18.0,22.0,19.0,163.0,126.0,87.0,22.0
Anton Lundell,C,44.0,30.0,41.0,25.0,119.0,118.0,31.0,95.0
Christian Dvorak,C,45.0,30.0,34.0,35.0,156.0,101.0,22.0,82.0
Matt Boldy,LW,46.0,6.0,24.0,10.0,134.0,95.0,180.0,13.0
William Cuylle,LW,46.0,28.0,49.0,32.0,3.0,85.0,189.0,76.0
Pavel Zacha,C,47.0,18.0,32.0,18.0,130.0,127.0,39.0,100.0
Morgan Frost,C,48.0,26.0,46.0,24.0,135.0,114.0,28.0,92.0
Elias Lindholm,C,49.0,31.0,36.0,20.0,153.0,94.0,15.0,117.0
Alexander Wennberg,C,49.0,30.0,30.0,25.0,166.0,61.0,16.0,138.0
Jean-Gabriel Pageau,C,50.0,31.0,49.0,39.0,80.0,102.0,17.0,149.0
Mikael Backlund,C,50.0,31.0,41.0,37.0,171.0,125.0,12.0,50.0
Matty Beniers,C,51.0,28.0,37.0,29.0,163.0,84.0,44.0,84.0
MacKenzie Weegar,D,52.0,44.0,43.0,34.0,39.0,7.0,225.0,79.0
Boone Jenner,C,53.0,35.0,42.0,37.0,54.0,87.0,120.0,99.0
Marco Kasper,C,53.0,39.0,57.0,38.0,29.0,102.0,109.0,100.0
Filip Forsberg,C,54.0,8.0,32.0,14.0,72.0,120.0,215.0,14.0
Juraj Slafkovsky,LW,55.0,18.0,24.0,12.0,89.0,76.0,205.0,54.0
Mason McTavish,C,56.0,31.0,43.0,29.0,99.0,120.0,72.0,87.0
Leo Carlsson,C,57.0,19.0,29.0,22.0,180.0,124.0,62.0,46.0
Owen Tippett,RW,58.0,20.0,44.0,33.0,40.0,103.0,216.0,27.0
Jacob Trouba,D,59.0,38.0,42.0,39.0,56.0,17.0,225.0,67.0
Alex Tuch,RW,60.0,15.0,34.0,31.0,112.0,64.0,186.0,44.0
Claude Giroux,C,61.0,34.0,32.0,27.0,129.0,126.0,46.0,94.0
Adam Lowry,LW,62.0,43.0,51.0,40.0,51.0,105.0,40.0,159.0
Morgan Geekie,C,62.0,9.0,38.0,16.0,85.0,119.0,169.0,53.0
Cutter Gauthier,LW,63.0,7.0,39.0,21.0,130.0,133.0,156.0,5.0
David Pastrňák,RW,64.0,19.0,5.0,8.0,108.0,121.0,223.0,10.0
Sean Monahan,C,65.0,35.0,44.0,30.0,148.0,119.0,19.0,100.0
Darnell Nurse,D,65.0,41.0,50.0,40.0,61.0,9.0,225.0,69.0
Anže Kopitar,C,66.0,36.0,41.0,28.0,161.0,92.0,8.0,130.0
Anthony Cirelli,C,67.0,25.0,38.0,36.0,144.0,106.0,42.0,106.0
Sean Walker,D,67.0,39.0,45.0,39.0,58.0,36.0,225.0,55.0
Andrew Copp,C,67.0,39.0,33.0,32.0,150.0,89.0,38.0,116.0
Mathew Barzal,C,68.0,29.0,16.0,20.0,165.0,103.0,115.0,51.0
Tom Wilson,RW,69.0,18.0,35.0,28.0,31.0,100.0,208.0,80.0
Andrei Svechnikov,RW,69.0,17.0,28.0,11.0,53.0,137.0,215.0,39.0
Peyton Krebs,C,70.0,36.0,40.0,39.0,21.0,112.0,115.0,138.0
Kiefer Sherwood,RW,71.0,25.0,54.0,28.0,2.0,123.0,209.0,61.0
Chandler Stephenson,C,72.0,32.0,34.0,24.0,174.0,97.0,7.0,138.0
Emil Heineman,LW,73.0,26.0,58.0,36.0,11.0,99.0,218.0,59.0
Casey Cizikas,C,73.0,38.0,59.0,40.0,49.0,96.0,75.0,150.0
Evan Bouchard,D,74.0,27.0,3.0,8.0,165.0,54.0,225.0,26.0
Jakob Chychrun,D,75.0,22.0,33.0,22.0,136.0,45.0,225.0,26.0
Logan Stankoven,C,75.0,27.0,44.0,31.0,144.0,131.0,65.0,67.0
Alex Ovechkin,LW,76.0,16.0,35.0,21.0,63.0,137.0,223.0,15.0
Nic Dowd,C,77.0,43.0,51.0,40.0,59.0,103.0,51.0,164.0
Yanni Gourde,C,78.0,39.0,48.0,40.0,80.0,122.0,68.0,117.0
Scott Laughton,C,78.0,35.0,60.0,38.0,75.0,111.0,59.0,136.0
Lawson Crouse,LW,79.0,24.0,47.0,39.0,16.0,101.0,199.0,91.0
Zach Werenski,D,79.0,26.0,12.0,19.0,164.0,60.0,225.0,11.0
Jason Robertson,LW,79.0,4.0,17.0,4.0,146.0,119.0,224.0,3.0
Cale Makar,D,80.0,28.0,12.0,11.0,159.0,42.0,225.0,42.0
Ryan Poehling,C,81.0,37.0,42.0,39.0,150.0,68.0,47.0,137.0
Eeli Tolvanen,RW,82.0,36.0,43.0,26.0,28.0,73.0,225.0,91.0
Ridly Greig,C,82.0,35.0,45.0,37.0,98.0,101.0,103.0,103.0
Jack Hughes,C,83.0,21.0,18.0,17.0,190.0,121.0,137.0,19.0
Evan Rodrigues,C,83.0,37.0,47.0,35.0,131.0,127.0,73.0,73.0
Filip Hronek,D,84.0,40.0,26.0,19.0,64.0,55.0,225.0,95.0
Vasily Podkolzin,RW,85.0,29.0,49.0,37.0,12.0,101.0,204.0,93.0
Martin Nečas,C,86.0,10.0,11.0,16.0,109.0,127.0,216.0,37.0
Seth Jarvis,C,87.0,16.0,33.0,19.0,113.0,126.0,196.0,24.0
Alex DeBrincat,RW,87.0,7.0,23.0,17.0,156.0,114.0,206.0,4.0
Dylan Guenther,RW,88.0,8.0,34.0,16.0,128.0,125.0,201.0,16.0
Matthew Schaefer,D,89.0,25.0,31.0,22.0,154.0,47.0,225.0,25.0
Darren Raddysh,D,89.0,26.0,20.0,14.0,127.0,84.0,225.0,33.0
Roope Hintz,LW,90.0,33.0,38.0,21.0,135.0,135.0,63.0,105.0
Frank Nazar,C,90.0,33.0,41.0,28.0,157.0,110.0,67.0,94.0
Rasmus Dahlin,D,91.0,29.0,14.0,18.0,127.0,75.0,225.0,44.0
Mitch Marner,RW,92.0,24.0,13.0,16.0,170.0,107.0,136.0,68.0
Noah Dobson,D,93.0,36.0,32.0,33.0,132.0,2.0,225.0,75.0
Justin Sourdif,RW,93.0,33.0,47.0,37.0,96.0,113.0,86.0,123.0
Jackson LaCombe,D,94.0,38.0,20.0,23.0,120.0,33.0,225.0,77.0
Nikita Kucherov,RW,94.0,5.0,2.0,5.0,158.0,124.0,225.0,17.0
Drake Batherson,C,94.0,15.0,29.0,10.0,74.0,131.0,211.0,66.0
Aatu Räty,C,95.0,44.0,57.0,40.0,41.0,137.0,53.0,165.0
Jack Drury,C,96.0,38.0,50.0,40.0,148.0,97.0,33.0,132.0
Kirill Kaprizov,LW,96.0,4.0,23.0,9.0,142.0,126.0,225.0,9.0
Mattias Samuelsson,D,97.0,35.0,39.0,40.0,65.0,13.0,225.0,122.0
Robert Thomas,C,97.0,23.0,28.0,26.0,184.0,113.0,36.0,129.0
Anders Lee,LW,98.0,29.0,44.0,32.0,103.0,116.0,174.0,42.0
Bobby McMann,F,98.0,19.0,50.0,34.0,41.0,126.0,218.0,52.0
Ben Chiarot,D,99.0,43.0,57.0,40.0,37.0,11.0,225.0,128.0
Josh Manson,D,100.0,43.0,41.0,40.0,34.0,56.0,225.0,103.0
Blake Coleman,C,101.0,28.0,52.0,39.0,50.0,105.0,212.0,57.0
Dylan Holloway,C,102.0,26.0,38.0,32.0,68.0,112.0,197.0,71.0
Travis Konecny,RW,102.0,21.0,26.0,26.0,86.0,115.0,205.0,65.0
Jake Evans,C,103.0,36.0,55.0,40.0,105.0,103.0,52.0,154.0
Trevor Zegras,C,104.0,22.0,26.0,17.0,148.0,125.0,142.0,66.0
Sean Kuraly,C,104.0,42.0,51.0,40.0,107.0,106.0,79.0,121.0
Parker Kelly,F,104.0,27.0,53.0,40.0,33.0,95.0,171.0,127.0
Morgan Barron,C,105.0,37.0,55.0,40.0,65.0,113.0,99.0,138.0
Benjamin Kindel,C,105.0,31.0,49.0,30.0,164.0,95.0,96.0,82.0
Rasmus Andersson,D,106.0,31.0,37.0,27.0,157.0,17.0,225.0,56.0
Cole Caufield,RW,106.0,2.0,30.0,11.0,144.0,132.0,219.0,12.0
Dougie Hamilton,D,107.0,36.0,40.0,26.0,107.0,77.0,225.0,40.0
Connor McMichael,C,108.0,34.0,35.0,35.0,149.0,108.0,102.0,90.0
Oliver Kapanen,C,108.0,26.0,52.0,39.0,162.0,85.0,89.0,100.0
Nikita Zadorov,D,109.0,46.0,47.0,40.0,22.0,53.0,225.0,124.0
Brock Faber,D,109.0,33.0,31.0,29.0,161.0,18.0,225.0,60.0
Braden Schneider,D,109.0,46.0,51.0,40.0,43.0,23.0,225.0,129.0
Rickard Rakell,RW,110.0,24.0,43.0,24.0,123.0,110.0,167.0,67.0
Ryan McLeod,C,111.0,34.0,27.0,33.0,178.0,119.0,27.0,141.0
Phillip Danault,C,111.0,42.0,56.0,40.0,131.0,113.0,37.0,140.0
Noah Laba,C,112.0,39.0,52.0,35.0,85.0,110.0,82.0,157.0
Mikael Granlund,C,112.0,29.0,45.0,28.0,162.0,112.0,70.0,114.0
Matthew Knies,LW,112.0,25.0,24.0,24.0,50.0,121.0,224.0,92.0
Jonathan Toews,C,112.0,37.0,49.0,32.0,177.0,119.0,20.0,126.0
Kirill Marchenko,RW,113.0,21.0,27.0,17.0,133.0,113.0,221.0,29.0
Mikhail Sergachev,D,114.0,38.0,19.0,14.0,156.0,36.0,225.0,74.0
Charlie McAvoy,D,115.0,37.0,18.0,17.0,115.0,32.0,225.0,120.0
Sam Reinhart,C,115.0,19.0,35.0,15.0,135.0,113.0,179.0,68.0
Yakov Trenin,C,116.0,42.0,50.0,40.0,1.0,114.0,186.0,133.0
Zemgus Girgensons,C,116.0,39.0,56.0,40.0,23.0,109.0,157.0,142.0
Eetu Luostarinen,C,117.0,37.0,45.0,39.0,75.0,96.0,151.0,124.0
Ross Colton,C,117.0,39.0,52.0,40.0,46.0,128.0,182.0,80.0
Jason Dickinson,C,117.0,41.0,57.0,40.0,109.0,103.0,60.0,157.0
Brandt Clarke,D,118.0,40.0,35.0,27.0,164.0,3.0,225.0,74.0
Brandon Hagel,LW,118.0,12.0,29.0,28.0,152.0,115.0,201.0,31.0
Cody Glass,C,118.0,29.0,60.0,38.0,152.0,113.0,50.0,126.0
Kyle Connor,LW,119.0,9.0,16.0,21.0,158.0,134.0,225.0,6.0
Kevin Stenlund,C,120.0,44.0,53.0,40.0,151.0,92.0,26.0,164.0
Justin Faulk,D,121.0,32.0,43.0,31.0,124.0,31.0,225.0,85.0
Mario Ferraro,D,121.0,41.0,51.0,40.0,61.0,16.0,225.0,137.0
Alexander Nikishin,D,121.0,37.0,45.0,30.0,65.0,60.0,225.0,109.0
Beckett Sennecke,F,122.0,25.0,30.0,27.0,97.0,129.0,222.0,43.0
Jake DeBrusk,LW,123.0,25.0,48.0,16.0,128.0,118.0,211.0,28.0
J.T. Compher,LW,123.0,37.0,50.0,39.0,172.0,99.0,41.0,136.0
Adam Larsson,D,124.0,41.0,49.0,40.0,85.0,10.0,225.0,125.0
Ivan Barbashev,C,124.0,25.0,29.0,34.0,61.0,116.0,212.0,98.0
Noel Acciari,C,125.0,35.0,55.0,40.0,129.0,91.0,88.0,138.0
Justin Hryckowian,F,126.0,34.0,51.0,35.0,77.0,109.0,124.0,147.0
Gabriel Landeskog,LW,126.0,34.0,46.0,35.0,108.0,121.0,134.0,99.0
Roman Josi,D,127.0,35.0,25.0,16.0,170.0,54.0,225.0,53.0
Miro Heiskanen,D,128.0,39.0,15.0,12.0,173.0,31.0,225.0,85.0
William Eklund,LW,129.0,33.0,29.0,24.0,122.0,102.0,214.0,57.0
Bryan Rust,RW,130.0,19.0,31.0,16.0,159.0,82.0,223.0,52.0
Ryan Greene,C,130.0,36.0,50.0,36.0,144.0,116.0,78.0,122.0
Colton Sissons,C,130.0,42.0,62.0,38.0,101.0,107.0,76.0,156.0
Quinn Hughes,D,131.0,41.0,7.0,7.0,187.0,67.0,225.0,49.0
Barrett Hayton,C,132.0,38.0,52.0,34.0,160.0,124.0,65.0,112.0
Lane Hutson,D,133.0,36.0,9.0,20.0,163.0,26.0,225.0,107.0
Carter Verhaeghe,C,133.0,23.0,37.0,29.0,126.0,131.0,191.0,49.0
Mackie Samoskevich,RW,134.0,36.0,47.0,30.0,62.0,120.0,220.0,72.0
Clayton Keller,C,135.0,22.0,11.0,13.0,186.0,121.0,212.0,23.0
Connor Dewar,C,135.0,34.0,51.0,40.0,55.0,107.0,180.0,121.0
Jake Sanderson,D,135.0,34.0,27.0,18.0,165.0,33.0,225.0,86.0
Alexis Lafrenière,LW,136.0,24.0,34.0,25.0,110.0,111.0,216.0,69.0
Nicolas Roy,C,136.0,40.0,50.0,38.0,123.0,113.0,71.0,154.0
Ryan Nugent-Hopkins,C,137.0,28.0,31.0,11.0,169.0,122.0,131.0,98.0
Emmitt Finnie,C,137.0,35.0,50.0,32.0,66.0,112.0,184.0,111.0
Jeremy Lauzon,D,138.0,47.0,55.0,40.0,10.0,58.0,225.0,157.0
Jesper Bratt,W,138.0,26.0,19.0,20.0,120.0,129.0,222.0,56.0
Dalibor Dvorsky,C,138.0,36.0,58.0,33.0,117.0,129.0,80.0,139.0
Sam Carrick,C,138.0,39.0,60.0,40.0,88.0,118.0,92.0,155.0
Evander Kane,LW,139.0,35.0,49.0,34.0,84.0,125.0,204.0,62.0
Brandon Montour,D,139.0,37.0,46.0,32.0,119.0,76.0,225.0,58.0
Cole Sillinger,C,139.0,40.0,42.0,39.0,83.0,109.0,184.0,96.0
Josh Morrissey,D,140.0,34.0,26.0,24.0,158.0,41.0,225.0,87.0
Tyler Bertuzzi,LW,140.0,16.0,41.0,19.0,139.0,129.0,182.0,69.0
Mavrik Bourque,C,140.0,28.0,46.0,35.0,115.0,132.0,153.0,86.0
Logan Cooley,C,140.0,24.0,48.0,30.0,140.0,126.0,98.0,129.0
Colton Parayko,D,140.0,44.0,53.0,40.0,99.0,8.0,225.0,126.0
Ryan Leonard,RW,140.0,28.0,42.0,26.0,72.0,128.0,219.0,80.0
Nick Seeler,D,140.0,44.0,61.0,40.0,71.0,17.0,225.0,137.0
Pavel Dorofeyev,LW,141.0,11.0,40.0,10.0,167.0,125.0,225.0,18.0
Matt Roy,D,142.0,46.0,50.0,40.0,79.0,20.0,225.0,137.0
Anthony Beauvillier,LW,143.0,33.0,54.0,39.0,101.0,105.0,188.0,78.0
Beck Malenstyn,LW,143.0,41.0,60.0,40.0,5.0,79.0,215.0,158.0
Dawson Mercer,C,143.0,28.0,45.0,33.0,161.0,106.0,150.0,75.0
Jake McCabe,D,144.0,43.0,47.0,40.0,90.0,1.0,225.0,153.0
Brock Boeser,RW,145.0,26.0,41.0,21.0,140.0,127.0,178.0,67.0
Luke Glendening,C,145.0,46.0,60.0,40.0,97.0,100.0,77.0,180.0
Parker Wotherspoon,D,145.0,45.0,40.0,40.0,44.0,46.0,225.0,160.0
Adam Henrique,C,145.0,45.0,55.0,37.0,160.0,79.0,84.0,140.0
Martin Fehérváry,D,146.0,43.0,45.0,40.0,85.0,6.0,225.0,157.0
Mattias Ekholm,D,146.0,42.0,32.0,37.0,129.0,36.0,225.0,100.0
Zachary Bolduc,C,147.0,36.0,49.0,34.0,37.0,110.0,206.0,130.0
Mikko Rantanen,RW,147.0,26.0,14.0,7.0,146.0,123.0,193.0,93.0
Brayden Point,C,148.0,30.0,35.0,29.0,186.0,130.0,91.0,102.0
Fabian Zetterlund,W,148.0,31.0,51.0,32.0,47.0,121.0,222.0,99.0
Louis Crevier,D,148.0,41.0,49.0,40.0,72.0,59.0,225.0,117.0
Ty Dellandrea,C,149.0,46.0,58.0,40.0,67.0,116.0,97.0,180.0
John Carlson,D,149.0,34.0,21.0,26.0,168.0,50.0,225.0,80.0
Adam Klapka,F,150.0,42.0,55.0,38.0,4.0,103.0,213.0,150.0
Vince Dunn,D,150.0,37.0,34.0,19.0,167.0,68.0,225.0,55.0
Shane Wright,C,151.0,36.0,52.0,34.0,143.0,94.0,113.0,134.0
Nikolaj Ehlers,LW,152.0,22.0,22.0,11.0,173.0,129.0,214.0,36.0
Josh Doan,RW,153.0,23.0,40.0,23.0,116.0,122.0,221.0,63.0
Michael Carcone,F,153.0,32.0,52.0,36.0,54.0,137.0,211.0,86.0
Matthew Coronato,RW,154.0,30.0,40.0,25.0,171.0,130.0,170.0,43.0
Tanner Jeannot,F,154.0,42.0,51.0,39.0,13.0,95.0,217.0,152.0
Erik Karlsson,D,154.0,33.0,17.0,14.0,174.0,89.0,225.0,57.0
Mike Matheson,D,155.0,41.0,37.0,39.0,135.0,16.0,225.0,117.0
Max Domi,LW,155.0,36.0,43.0,32.0,157.0,118.0,111.0,113.0
A.J. Greer,LW,155.0,31.0,52.0,39.0,19.0,124.0,218.0,127.0
Danila Yurov,RW,156.0,36.0,52.0,37.0,132.0,110.0,94.0,150.0
Jordan Eberle,RW,156.0,22.0,38.0,24.0,139.0,110.0,213.0,65.0
Brenden Dillon,D,157.0,45.0,55.0,40.0,20.0,52.0,225.0,175.0
Ryan Donato,C,157.0,33.0,52.0,38.0,116.0,132.0,132.0,109.0
Lucas Raymond,LW,157.0,23.0,17.0,13.0,151.0,124.0,224.0,60.0
Simon Benoit,D,158.0,48.0,61.0,40.0,24.0,45.0,225.0,170.0
Ivan Provorov,D,159.0,39.0,45.0,35.0,166.0,29.0,225.0,75.0
Simon Edvinsson,D,160.0,39.0,51.0,39.0,100.0,18.0,225.0,143.0
Dmitry Orlov,D,160.0,45.0,33.0,22.0,73.0,77.0,225.0,140.0
Sam Malinski,D,160.0,40.0,35.0,39.0,148.0,59.0,225.0,69.0
K'Andre Miller,D,161.0,40.0,38.0,37.0,93.0,75.0,225.0,108.0
Jack Roslovic,C,161.0,27.0,52.0,34.0,148.0,126.0,138.0,91.0
Evgeni Malkin,C,161.0,29.0,25.0,18.0,170.0,136.0,152.0,86.0
Jimmy Snuggerud,RW,162.0,27.0,37.0,31.0,123.0,114.0,221.0,64.0
Luke Kunin,C,162.0,44.0,61.0,40.0,73.0,106.0,112.0,181.0
Mathieu Olivier,F,163.0,33.0,56.0,40.0,17.0,111.0,223.0,138.0
Pavel Buchnevich,LW,163.0,28.0,39.0,25.0,164.0,113.0,159.0,90.0
Artemi Panarin,LW,163.0,20.0,13.0,17.0,183.0,137.0,224.0,24.0
Alex Iafallo,C,164.0,35.0,51.0,35.0,76.0,97.0,208.0,117.0
Trent Frederic,C,165.0,44.0,64.0,40.0,25.0,131.0,163.0,153.0
Zach Whitecloud,D,166.0,46.0,52.0,40.0,72.0,24.0,225.0,163.0
Kris Letang,D,166.0,45.0,36.0,30.0,99.0,60.0,225.0,127.0
Joe Veleno,C,166.0,46.0,64.0,40.0,40.0,121.0,133.0,178.0
Thomas Novak,C,166.0,32.0,41.0,33.0,182.0,119.0,114.0,101.0
Zack Ostapchuk,C,167.0,44.0,64.0,40.0,59.0,124.0,107.0,186.0
Brayden McNabb,D,167.0,43.0,60.0,40.0,85.0,22.0,225.0,149.0
Anthony Mantha,RW,168.0,15.0,36.0,27.0,142.0,113.0,211.0,81.0
Joel Edmundson,D,168.0,46.0,46.0,37.0,97.0,47.0,225.0,127.0
Gabriel Vilardi,C,169.0,18.0,28.0,16.0,174.0,118.0,189.0,83.0
Brett Howden,C,169.0,36.0,57.0,37.0,94.0,134.0,104.0,164.0
Nick Foligno,LW,169.0,44.0,56.0,38.0,69.0,120.0,118.0,181.0
Thomas Harley,D,170.0,42.0,37.0,33.0,155.0,18.0,225.0,118.0
Steven Lorentz,C,171.0,41.0,56.0,40.0,48.0,105.0,179.0,160.0
Jordan Martinook,LW,172.0,36.0,50.0,40.0,83.0,103.0,196.0,122.0
Mark Jankowski,C,172.0,37.0,57.0,38.0,149.0,108.0,74.0,167.0
Andrew Peeke,D,173.0,43.0,58.0,40.0,89.0,28.0,225.0,148.0
Keegan Kolesar,RW,173.0,42.0,56.0,40.0,7.0,110.0,213.0,163.0
Jared Spurgeon,D,173.0,42.0,51.0,34.0,112.0,26.0,225.0,141.0
Rasmus Sandin,D,173.0,43.0,43.0,39.0,106.0,34.0,225.0,141.0
Tyler Kleven,D,174.0,45.0,52.0,40.0,71.0,59.0,225.0,141.0
Morgan Rielly,D,174.0,37.0,42.0,34.0,159.0,45.0,225.0,91.0
Jack Quinn,RW,174.0,28.0,36.0,29.0,142.0,128.0,222.0,48.0
Matt Duchene,C,175.0,32.0,38.0,26.0,165.0,130.0,101.0,142.0
Nick Bjugstad,C,176.0,42.0,64.0,40.0,86.0,120.0,130.0,153.0
Marco Rossi,C,177.0,36.0,44.0,26.0,147.0,123.0,96.0,164.0
William Nylander,RW,178.0,18.0,19.0,18.0,181.0,127.0,197.0,77.0
Paul Cotter,C,178.0,39.0,61.0,39.0,26.0,131.0,172.0,169.0
Adam Pelech,D,179.0,44.0,55.0,40.0,128.0,37.0,225.0,109.0
Travis Sanheim,D,179.0,37.0,41.0,37.0,148.0,14.0,225.0,136.0
Tyler Toffoli,C,180.0,29.0,37.0,25.0,146.0,122.0,219.0,61.0
Nick Paul,LW,180.0,41.0,59.0,37.0,119.0,131.0,90.0,162.0
Alex Killorn,C,180.0,33.0,49.0,35.0,124.0,123.0,190.0,85.0
Frédérick Gaudreau,C,181.0,41.0,50.0,37.0,159.0,101.0,92.0,160.0
Pius Suter,F,181.0,35.0,51.0,36.0,153.0,129.0,100.0,136.0
Brent Burns,D,182.0,36.0,44.0,39.0,174.0,63.0,225.0,61.0
Logan Stanley,D,183.0,39.0,50.0,39.0,85.0,70.0,225.0,135.0
Radko Gudas,D,183.0,46.0,56.0,40.0,42.0,67.0,225.0,167.0
Noah Hanifin,D,183.0,45.0,42.0,33.0,158.0,43.0,225.0,97.0
Michael Anderson,D,183.0,44.0,51.0,40.0,84.0,30.0,225.0,169.0
Oliver Ekman-Larsson,D,184.0,40.0,36.0,31.0,108.0,81.0,225.0,123.0
Dylan DeMelo,D,184.0,45.0,51.0,40.0,80.0,48.0,225.0,155.0
Jake Neighbours,LW,184.0,33.0,46.0,33.0,50.0,117.0,220.0,145.0
Nick Cousins,C,185.0,39.0,53.0,40.0,38.0,112.0,212.0,151.0
Aaron Ekblad,D,185.0,44.0,45.0,35.0,110.0,52.0,225.0,134.0
Mark Stone,RW,186.0,20.0,22.0,13.0,163.0,106.0,221.0,101.0
Aliaksei Protas,C,186.0,23.0,40.0,39.0,161.0,111.0,198.0,74.0
Vladislav Gavrikov,D,186.0,34.0,46.0,34.0,144.0,51.0,225.0,112.0
Drew O'Connor,F,187.0,31.0,55.0,40.0,117.0,127.0,181.0,96.0
Lars Eller,C,187.0,43.0,57.0,40.0,144.0,119.0,81.0,163.0
Chris Kreider,LW,188.0,26.0,39.0,23.0,125.0,133.0,210.0,93.0
Jason Zucker,LW,188.0,24.0,46.0,24.0,137.0,132.0,184.0,102.0
Sam Steel,C,188.0,36.0,46.0,37.0,115.0,124.0,143.0,148.0
Collin Graf,F,189.0,27.0,42.0,39.0,106.0,105.0,218.0,113.0
Joel Farabee,LW,189.0,28.0,49.0,37.0,145.0,101.0,200.0,90.0
Jamie Oleksiak,D,190.0,43.0,57.0,40.0,83.0,50.0,225.0,153.0
