name,position,team,rank,total,games_played,goals,assists,power_play_points,shots,face_off_wins,hits,blocked_shots,goals_score,assists_score,power_play_points_score,shots_score,face_off_wins_score,hits_score,blocked_shots_score
Drake Batherson,C,OTT,49.0,520.9721599659345,79,33,38,30,167,14,122,22,97.22140953254177,90.00514408143225,98.72917374527862,85.7203701505893,45.771486325768834,82.0709935010568,21.45358262926686
Connor Bedard,C,CHI,50.0,519.8538384152463,69,30,45,21,226,315,31,27,95.56666053697583,95.30709870987829,92.45660918818623,97.33180142483383,86.89938739791805,24.036248433210076,28.25603272424404
Quinton Byfield,C,LAK,51.0,519.3343321224781,79,24,25,11,180,508,66,44,89.14283912616693,69.56431731570507,73.09736574713867,89.71405975705572,95.7424039158091,51.45939731399474,50.613948946607934
Travis Konecny,RW,PHI,52.0,519.3260284263156,77,27,41,14,168,20,108,38,92.91477691565069,92.70990957447268,80.9411014556513,86.07336256922238,48.0956364413783,75.60491816614321,42.986323303797064
Rasmus Dahlin,D,BUF,53.0,518.9159270657069,77,19,55,22,195,0,67,79,79.2016770962513,98.36485109068632,93.56406329805543,92.8491701751174,24.041903142373393,52.26747587649109,78.62678638673202
Pavel Zacha,C,BOS,54.0,518.7736008170634,78,30,35,22,131,524,64,26,95.56666053697583,86.59279528919484,93.56406329805543,70.25811864374344,96.380865997116,49.635792642610966,26.77530440936694
Cale Makar,D,COL,55.0,517.7243492283144,75,20,59,29,199,0,35,117,81.62171828826857,98.83195426128609,98.22595570593148,93.53678815252567,24.041903142373393,27.207430530373017,94.25859914755614
Timo Meier,RW,NJD,56.0,517.6872059210477,77,24,20,10,269,57,131,53,89.14283912616693,57.4737689817521,70.39579956506165,99.29680349304229,56.1752183668593,85.45248498367619,59.75029140448935
Noah Cates,LW,PHI,57.0,517.3288475037166,82,18,29,9,132,467,102,51,76.73854944453555,77.329579146598,67.46475727730535,70.92918158593665,94.58294937959857,72.71507882793756,57.56875184180492
Evan Bouchard,D,EDM,58.0,515.1986026457345,82,21,74,33,221,0,29,101,83.74955170710811,99.75767992359332,99.22130492470797,96.62863153816103,24.041903142373393,21.929968998341636,89.86956241144907
Mathew Barzal,C,NYI,59.0,514.351385677837,81,19,53,20,184,210,29,50,79.2016770962513,97.96599726405985,91.1714957573443,90.70230429724597,77.0072104388564,21.929968998341636,56.372731825737574
Seth Jarvis,C,CAR,60.0,511.8118121911558,71,32,34,21,224,32,81,27,96.73194810860673,85.33370332273623,92.45660918818623,97.00579379375615,50.91434497861624,61.113380075010134,28.25603272424404
Erik Haula,LW,NSH,61.0,509.960096675891,81,14,24,12,127,494,118,51,65.30580118060058,67.28723918606975,75.75959066531678,68.21510971599568,95.37772221969452,80.44588186640877,57.56875184180492
Owen Tippett,RW,PHI,62.0,509.90210051554686,81,28,23,7,220,9,166,50,93.86545683796453,65.0844245102973,60.65811268635163,96.40672159164168,43.51481622462949,93.9998368389247,56.372731825737574
Alex DeBrincat,RW,DET,63.0,509.7785853422922,82,41,44,23,287,19,38,39,99.18997262912384,94.69793955016425,94.54090702760493,99.68774985366325,47.75432854266985,29.82267689121543,44.08501084785061
Zach Werenski,D,CBJ,64.0,509.71476462395356,75,22,59,21,260,0,30,94,85.65331399337745,98.83195426128609,92.45660918818623,98.97234226127652,24.041903142373393,23.068716126048784,86.68992565140508
Matthew Schaefer,D,NYI,65.0,508.6485803692582,82,23,36,18,222,0,40,111,87.4734690714837,87.76122047980792,88.33783070721557,96.81407805291076,24.041903142373393,31.465891594224388,92.75418732124244
Nazem Kadri,C,2TM,66.0,508.3366748682036,77,16,34,19,213,464,50,30,71.39909207109352,85.33370332273623,89.76709465672411,95.57754345530108,94.46432749112174,39.33319563562438,32.46171823560251
Mitch Marner,RW,VEG,67.0,508.02946133667456,81,24,56,24,165,150,24,46,89.14283912616693,98.56452157457781,95.57408086065158,84.82991035997844,69.54901415458475,17.794991634782434,52.57410362593258
Dylan Guenther,RW,UTA,68.0,507.35909559744323,79,40,33,24,242,26,66,28,98.9867463890605,84.01841374023245,95.57408086065158,98.30240610948226,49.308921080880864,51.45939731399474,29.70913010314085
Dylan Strome,C,WSH,69.0,507.11591126295514,80,19,39,21,143,777,11,53,79.2016770962513,91.01382347654186,92.45660918818623,76.07670961820995,99.65278481869822,8.96401566057814,59.75029140448935
Kirill Marchenko,RW,CBJ,70.0,506.9637389171757,76,27,40,23,218,4,61,40,92.91477691565069,91.8330586640174,94.54090702760493,96.133086428948,38.53702435927084,47.502290081345734,45.5025954403381
Jason Robertson,LW,DAL,71.0,506.14082071166126,82,45,51,41,294,1,48,34,99.61781978373318,97.54455255533324,99.65278481869822,99.79264495855836,34.06389429134738,37.353645859783654,38.115478444207255
Brayden Schenn,C,2TM,72.0,506.08316656479946,80,18,21,9,119,456,180,41,76.73854944453555,60.1193595213247,67.46475727730535,64.55597685740194,94.18707885988873,96.0933818316206,46.924062772722536
Sam Reinhart,C,FLA,73.0,505.9767789204329,64,29,32,25,165,56,59,40,94.73486390810493,82.47210995878356,96.32567159037676,84.82991035997844,55.827283600806794,46.284344062044255,45.5025954403381
Matty Beniers,C,SEA,74.0,505.0269858146577,82,20,30,11,149,515,31,69,81.62171828826857,79.14376649880474,73.09736574713867,78.71032520591487,95.88095217754977,24.036248433210076,72.53660946377093
